asset_tag_id,description,purchased_from,purchase_date,brand,cost,model,serial_no,date_created,created_by,device_type,os,risk_category
7126,EG005W,,2024-03-08,LINKSYS,$0.00,EG005W,RDU30H102029,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7174,CANON DIGITAL CAMERA A590IS,,2008-08-04,Canon,$161.78,A590IS,6622374298,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7529,VP6420H,,2001-06-09,VERSAPOINT,$57.89,VP6420H,JL090801588,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7530,VP6420H,,2001-06-09,VERSAPOINT,$57.89,VP6420H,JL090800541,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7562,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,SVND3C06865,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7585,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,VND3K03545,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7580,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,SVND3C06793,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7567,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,SVND3717062*,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7572,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,SVND4C03838,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
99999999,HP PRINTER LASERJET LASERJET P1005,,2009-07-09,HP,$127.06,LASERJET P1005,SVND3717077,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7839,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7840,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1301030,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7841,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1301029,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7837,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1302296,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7958,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1258681,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7853,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1302850,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7854,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1294709,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7940,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1305617,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7943,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1298967,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7944,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1305625,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7859,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1260199,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7855,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1301025,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7941,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1305618,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7942,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1156084,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7858,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1303203,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7856,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1293453,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7948,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1195023,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7857,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1302854,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7957,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1298973,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7867,ADP TIMECLOCK HP-2K,,2009-07-22,Adp,,HP-2K,1294708,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
6828,RX2300,,2027-07-09,HP,$898.00,RX2300,MXL7320P45,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8177,HP MFP M1319F,,2009-09-03,HP,$293.01,M1319F,CNHZ968028,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8175,ACER MONITOR 17 V173,,2009-09-15,Acer,$125.00,V173,ETLBY08021918147E14200,2024-09-28 17:39,Bryan Shepard,monitor,unknown,Medium Risk
8172,ACER MONITOR 17 V173,,2009-09-15,Acer,$125.00,V173,ETLBY08021918147E24200,2024-09-28 17:39,Bryan Shepard,monitor,unknown,Medium Risk
8182,HP PRINTER LASERJET P2035N,,2009-09-30,HP,$224.00,P2035N,CNB9T11508,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8269,SAMSUNG DIGITAL CAMERA SL30,,2010-04-12,Samsung,$86.84,SL30,A1UMC98A3504V,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
12027,P1102W,,2028-05-10,HP,$146.76,P1102W,VNB3401998,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8717,LASERJET P2035,,2026-06-11,HP,$0.00,LASERJET P2035,VNB3021224,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8809,"ACER LCD MONITOR 20"" S202HL",,2011-11-11,Acer,,S202HL,ETLR4080111387DA604210,2024-09-28 17:39,Bryan Shepard,monitor,unknown,Medium Risk
8888,CANON DIGITAL CAMERA POWERSHOT A800,,2012-03-06,Canon,$86.84,POWERSHOT A800,5027B001,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
8886,HP PRINTER LASERJET LJ M1212NF,,2012-03-06,HP,$169.99,LJ M1212NF,CNG9CDS1M3,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
18499,THINKSTATION,,2010-04-12,LENOVO,"$1,834.75",THINKSTATION,MJ0LTJHN,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10607,M1217NFW,,2020-08-12,HP,$202.34,M1217NFW,CNGCBB 1G,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10642,HP PRINTER LASERJET P1102W,,2012-10-01,HP,$127.06,P1102W,VNB117234,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10644,HP PRINTER LASERJET P1102W,,2012-10-01,HP,$127.06,P1102W,VNB117293,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10645,HP PRINTER LASERJET P1102W,,2012-10-01,HP,$127.06,P1102W,VNB117544,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10640,HP PRINTER LASERJET P1102W,,2012-10-01,HP,$127.06,P1102W,VNB117236,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
13575,HP PRINTER LASERJET P1102W,,2012-10-01,HP,$127.06,P1102W,VNB117237,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10664,HP PRINTER LASERJET M1212NF,,2012-10-12,HP,$195.01,M1212NF,CNG9D6L0NC,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10785,ACER MONITOR 18.5 V183VH,,2012-11-01,Acer,$85.00,V183VH,ETLKSSD002227108488506,2024-09-28 17:39,Bryan Shepard,monitor,unknown,Medium Risk
10930,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A1024,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10931,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A1025,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
12338,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,14816A4174,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10868,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0472,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10869,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0473,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
13563,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0475,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
12314,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,14818A2230,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14670,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0504,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10876,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0480,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10877,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0481,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10878,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0482,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10879,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0483,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10880,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0484,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10881,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0485,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10882,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0486,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10883,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0487,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10884,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0488,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14219,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0490,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10888,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0502,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15479,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1736,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15483,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1644,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15484,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1645,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15485,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1646,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15489,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1650,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15492,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,19320A1689,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10857,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0461,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10863,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0467,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10865,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0469,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14466,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0470,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10914,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0528,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10915,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0529,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10916,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0530,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10917,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0541,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
12343,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,14816A4179,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10899,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0513,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10903,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0517,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10904,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0518,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
17495,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0522,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14754,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A1083,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15411,HYTERA TWO-WAY RADIO TC320,,2013-01-11,Hytera,$146.00,TC320,12912A0501,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10992,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29A0905,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10997,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29A0910,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10999,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0052,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11500,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0053,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11505,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0058,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11506,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0060,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15418,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0300,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15419,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,13302D0635,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11528,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29A0947,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11511,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0184,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11514,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0187,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11516,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0189,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14206,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,16014D4533,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14209,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,16014D4534,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10962,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D1033,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10964,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0017,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10965,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0018,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
12064,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0019,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10968,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0021,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14691,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12D04A0051,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
17507,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0027,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10972,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0025,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10976,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0029,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
10980,HYTERA TWO-WAY RADIO TC320,,2013-02-01,Hytera,$146.00,TC320,12N29D0083,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11518,OLYMPUS DIGITAL CAMERA VG-160,,2013-02-22,Olympus,$85.89,VG-160,RUW040829,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11519,HP PRINTER LASERJET PRO M1212NF MFP,,2013-02-22,HP,$179.00,PRO M1212NF MFP,CNJ8F19847,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11521,OLYMPUS DIGITAL CAMERA VG-160,,2013-03-18,Olympus,$74.30,VG-160,URW032596,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11629,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0074,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11630,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0075,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11631,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0076,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15465,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0051,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11638,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,11522D1332,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11639,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1333,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14636,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1335,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14634,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1338,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
17342,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1361,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11650,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1364,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11660,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1384,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11652,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1366,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14658,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13522D1387,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11677,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0081,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11678,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0082,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11680,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0084,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11685,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$146.00,TC320,13618D0089,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11890,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1504,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11891,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1505,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11774,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1228,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11771,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1225,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
14214,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1226,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11799,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1363,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11801,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1365,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11802,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1366,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11804,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1368,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11812,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1386,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11887,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1501,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11779,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1343,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11780,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1344,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
15905,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1347,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11784,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1348,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11835,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1409,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
13490,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1410,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11837,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1391,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11839,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1393,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
11840,HYTERA TWO-WAY RADIO TC320,,2013-08-15,Hytera,$155.38,TC320,13615D1394,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
